method,config,seed,composite,weighted_tardiness,setup_cost,makespan
SPT,small_2m,0,29.09356117248535,0.0,58.1871223449707,80.77628326416016
SPT,small_2m,1,45.43918228149414,0.0,90.87836456298828,96.840576171875
SPT,small_2m,2,53.994056701660156,0.0,107.98811340332031,82.97977447509766
SPT,small_2m,3,33.90494918823242,0.0,67.80989837646484,82.29065704345703
SPT,small_2m,4,43.712196350097656,0.0,87.42439270019531,125.94214630126953
SPT,small_2m,5,54.33562469482422,0.0,108.67124938964844,107.38417053222656
SPT,small_2m,6,34.797752380371094,0.0,69.59550476074219,105.56825256347656
SPT,small_2m,7,73.57288360595703,0.0,147.14576721191406,114.28540802001953
SPT,small_2m,8,38.42074203491211,0.0,76.84148406982422,105.64329528808594
SPT,small_2m,9,49.75909423828125,0.0,99.5181884765625,114.05398559570312
SPT,small_2m,10,73.90705871582031,0.0,147.81411743164062,116.23702239990234
SPT,small_2m,11,52.26398468017578,0.0,104.52796936035156,82.8264389038086
SPT,small_2m,12,45.24443054199219,0.0,90.48886108398438,86.81031799316406
SPT,small_2m,13,64.22828674316406,0.0,128.45657348632812,105.73358917236328
SPT,small_2m,14,49.28687286376953,0.0,98.57374572753906,100.91866302490234
SPT,small_2m,15,53.964412689208984,0.0,107.92882537841797,101.81273651123047
SPT,small_2m,16,64.40619659423828,0.0,128.81239318847656,95.18794250488281
SPT,small_2m,17,67.6159896850586,0.0,135.2319793701172,91.04499053955078
SPT,small_2m,18,50.236454010009766,0.0,100.47290802001953,110.3349838256836
SPT,small_2m,19,54.849273681640625,0.0,109.69854736328125,96.7956771850586
SPT,small_2m,20,59.022003173828125,0.0,118.04400634765625,87.95993041992188
SPT,small_2m,21,49.13833236694336,0.0,98.27666473388672,90.22339630126953
SPT,small_2m,22,62.9566650390625,0.0,125.913330078125,90.48902130126953
SPT,small_2m,23,44.667240142822266,0.0,89.33448028564453,78.11441802978516
SPT,small_2m,24,44.312843322753906,0.0,88.62568664550781,96.34564971923828
SPT,small_2m,25,69.21852111816406,0.0,138.43704223632812,73.58307647705078
SPT,small_2m,26,58.9495964050293,0.0,117.8991928100586,102.15682220458984
SPT,small_2m,27,28.052143096923828,0.0,56.104286193847656,92.3978042602539
SPT,small_2m,28,58.3575325012207,0.0,116.7150650024414,100.91668701171875
SPT,small_2m,29,17.644865036010742,0.0,35.289730072021484,87.31904602050781
NN-Greedy,small_2m,0,2.409348249435425,0.0,4.81869649887085,77.41096496582031
