method,config,seed,composite,weighted_tardiness,setup_cost,makespan
SPT,tiny_2m,0,0.3333333333333333,0.0,17.207298278808594,37.8240966796875
SPT,tiny_2m,1,0.21885733582442304,0.0,15.074790000915527,51.0032844543457
SPT,tiny_2m,2,0.12723034450506113,0.0,6.054603576660156,49.42040252685547
SPT,tiny_2m,3,0.17358739140114726,0.0,6.490559101104736,53.579551696777344
SPT,tiny_2m,4,0.2347248189952179,0.0,6.3819355964660645,57.29701614379883
SPT,tiny_2m,5,0.2495563693651521,0.0,7.537702560424805,54.49204635620117
SPT,tiny_2m,6,0.14269853995996615,0.0,8.33894157409668,60.82465744018555
SPT,tiny_2m,7,0.19450939562125746,0.0,6.9868927001953125,44.455440521240234
SPT,tiny_2m,8,0.3333333333333333,0.0,23.831884384155273,63.00859069824219
SPT,tiny_2m,9,0.17029349134500812,0.0,11.179183959960938,67.65061950683594
SPT,tiny_2m,10,0.26758447424920606,0.0,16.955961227416992,53.365211486816406
SPT,tiny_2m,11,0.3333333333333333,0.0,21.63725471496582,46.05220413208008
SPT,tiny_2m,12,0.3333333333333333,0.0,25.217697143554688,40.05541229248047
SPT,tiny_2m,13,0.12581785114627578,0.0,8.372020721435547,47.56574630737305
SPT,tiny_2m,14,0.3333333333333333,0.0,27.19283676147461,62.059181213378906
SPT,tiny_2m,15,0.3333333333333333,0.0,23.637481689453125,40.23731231689453
SPT,tiny_2m,16,0.12507755634252002,0.0,4.005390167236328,40.27055740356445
SPT,tiny_2m,17,0.09972262076780489,0.0,7.166303634643555,43.46440505981445
SPT,tiny_2m,18,0.2744792165722587,0.0,14.62093734741211,51.516746520996094
SPT,tiny_2m,19,0.1396021776173893,0.0,5.606127738952637,46.272308349609375
SPT,tiny_2m,20,0.3333333333333333,0.0,17.943971633911133,38.43233108520508
SPT,tiny_2m,21,0.20526018874463062,0.0,10.201555252075195,43.842681884765625
SPT,tiny_2m,22,0.22214375498111139,0.0,6.978311538696289,37.30261993408203
SPT,tiny_2m,23,0.1629697126807062,0.0,8.485904693603516,36.7513542175293
SPT,tiny_2m,24,0.23833121762453013,0.0,7.02913761138916,45.71329879760742
SPT,tiny_2m,25,0.16091188521961886,0.0,10.16988754272461,34.708824157714844
SPT,tiny_2m,26,0.25104100678474905,0.0,10.859338760375977,55.82175064086914
SPT,tiny_2m,27,0.07801607075768248,0.0,4.874869346618652,53.385169982910156
SPT,tiny_2m,28,0.19364173516559266,0.0,10.302385330200195,38.73005676269531
SPT,tiny_2m,29,0.3333333333333333,0.0,20.0789794921875,49.94522476196289
NN-Greedy,tiny_2m,0,0.22089064960535368,0.0,11.402793884277344,31.142610549926758
NN-Greedy,tiny_2m,1,0.2294389426880453,0.0,15.803646087646484,47.80015182495117
NN-Greedy,tiny_2m,2,0.09868286121943753,0.0,3.8242034912109375,43.24839401245117
NN-Greedy,tiny_2m,3,0.12318104098206584,0.0,8.037116050720215,52.61705780029297
NN-Greedy,tiny_2m,4,0.19971534504310443,0.0,5.5566301345825195,57.2850456237793
NN-Greedy,tiny_2m,5,0.2495563693651521,0.0,7.537702560424805,54.49204635620117
NN-Greedy,tiny_2m,6,0.1261799684511966,0.0,7.202651500701904,52.706722259521484
NN-Greedy,tiny_2m,7,0.21026564430263547,0.0,4.407310485839844,48.23884582519531
NN-Greedy,tiny_2m,8,0.3121871274524893,0.0,22.320022583007812,60.913028717041016
NN-Greedy,tiny_2m,9,0.2418671447145672,0.0,21.45119857788086,66.99139404296875
NN-Greedy,tiny_2m,10,0.12605681606933533,0.0,7.987812042236328,52.60527038574219
NN-Greedy,tiny_2m,11,0.29858559441737664,0.0,19.381717681884766,42.8646354675293
NN-Greedy,tiny_2m,12,0.26481769063781957,0.0,20.034276962280273,34.84574508666992
