method,config,seed,composite,weighted_tardiness,setup_cost,makespan
SPT,tiny_2m,0,0.2606156612769097,0.0,17.881568908691406,97.0196762084961
SPT,tiny_2m,1,0.28032149045392524,0.0,10.316276550292969,74.92677307128906
SPT,tiny_2m,2,0.3333333333333333,0.0,16.258514404296875,83.80271911621094
SPT,tiny_2m,3,0.201033679233097,0.0,13.601478576660156,90.76941680908203
SPT,tiny_2m,4,0.0706970286416095,0.0,8.961294174194336,118.82144927978516
SPT,tiny_2m,5,0.2783799213230071,0.0,18.897174835205078,98.1976318359375
SPT,tiny_2m,6,0.2713806757352104,0.0,22.888534545898438,90.6436538696289
SPT,tiny_2m,7,0.3108969060301819,0.0,11.164368629455566,103.38864135742188
SPT,tiny_2m,8,0.22613387137445604,0.0,9.794136047363281,74.06062316894531
SPT,tiny_2m,9,0.10927425549297097,0.0,11.673291206359863,108.39356994628906
SPT,tiny_2m,10,0.14904235531275603,3.202239990234375,9.106210708618164,97.23934173583984
SPT,tiny_2m,11,0.2166308210417419,0.0,13.311314582824707,74.3912353515625
SPT,tiny_2m,12,0.2476246044727401,0.0,9.945664405822754,60.696922302246094
SPT,tiny_2m,13,0.3333333333333333,0.0,29.995952606201172,105.86273193359375
SPT,tiny_2m,14,0.3333333333333333,0.0,12.18682861328125,122.36585998535156
SPT,tiny_2m,15,0.20667995001181266,0.0,21.658323287963867,96.80372619628906
SPT,tiny_2m,16,0.10335850061677924,0.0,10.4349365234375,89.5872802734375
SPT,tiny_2m,17,0.2444736718546614,0.0,18.015350341796875,71.93608856201172
SPT,tiny_2m,18,0.6170391017908105,127.18569946289062,16.15642547607422,128.45535278320312
SPT,tiny_2m,19,0.3287323854847069,0.0,11.713149070739746,109.6669692993164
SPT,tiny_2m,20,0.3333333333333333,0.0,23.505523681640625,52.74551010131836
SPT,tiny_2m,21,0.09664801136226041,0.0,15.071977615356445,122.25801849365234
SPT,tiny_2m,22,0.33285402619951165,0.0,16.205930709838867,75.58582305908203
SPT,tiny_2m,23,0.0969252874919532,0.0,8.69522476196289,58.3117561340332
SPT,tiny_2m,24,0.2917306584573146,13.276611328125,22.248109817504883,95.64273071289062
SPT,tiny_2m,25,0.10483476170227159,0.0,16.601057052612305,65.63777923583984
SPT,tiny_2m,26,0.3333333333333333,0.0,17.55687713623047,105.09777069091797
SPT,tiny_2m,27,0.21776259648113525,0.0,11.262899398803711,86.64832305908203
SPT,tiny_2m,28,0.3333333333333333,0.0,35.2741813659668,102.26721954345703
SPT,tiny_2m,29,0.3333333333333333,0.0,14.306885719299316,77.8235855102539
SPT,tiny_2m,30,0.3333333333333333,0.0,35.93310546875,101.53189849853516
SPT,tiny_2m,31,0.2789232987093094,0.0,10.232587814331055,71.3582534790039
SPT,tiny_2m,32,0.3333333333333333,0.0,30.306840896606445,74.48615264892578
SPT,tiny_2m,33,0.14841953780643596,0.0,11.27839469909668,74.88188171386719
SPT,tiny_2m,34,0.2963059196798619,0.0,15.053853988647461,77.56629943847656
SPT,tiny_2m,35,0.3333333333333333,0.0,53.48912048339844,83.08544921875
SPT,tiny_2m,36,0.3188627235935617,0.0,11.811753273010254,95.51433563232422
SPT,tiny_2m,37,0.2171686294577313,0.0,15.28901481628418,100.49100494384766
SPT,tiny_2m,38,0.4717813940761161,26.43244171142578,17.45582389831543,57.77462387084961
SPT,tiny_2m,39,0.3336288407508,0.1915740966796875,9.857083320617676,77.69584655761719
SPT,tiny_2m,40,0.19306214025690244,0.0,21.85101318359375,74.6087417602539
SPT,tiny_2m,41,0.10082532053516569,0.0,16.550561904907227,83.11009979248047
SPT,tiny_2m,42,0.4572404170415474,55.042362213134766,18.589046478271484,96.97454833984375
SPT,tiny_2m,43,0.059580311806301085,0.0,7.314067840576172,79.83912658691406
SPT,tiny_2m,44,0.15811766414906314,0.0,25.801481246948242,86.97137451171875
SPT,tiny_2m,45,0.3260919582030804,0.0,15.187211990356445,115.2353744506836
SPT,tiny_2m,46,0.23098956067546828,0.0,21.723485946655273,98.6430892944336
SPT,tiny_2m,47,0.2897550713999841,0.0,18.80911636352539,61.132843017578125
SPT,tiny_2m,48,0.1406043293188267,0.0,11.774312973022461,82.64208221435547
SPT,tiny_2m,49,0.24809718326853938,0.0,17.5340633392334,105.3104019165039
NN-Greedy,tiny_2m,0,0.17412636184035893,0.0,13.735624313354492,84.89422607421875
NN-Greedy,tiny_2m,1,0.19312426408435626,0.0,6.520160675048828,62.18329620361328
NN-Greedy,tiny_2m,2,0.2458315267003154,0.0,11.99056625366211,90.73091125488281
NN-Greedy,tiny_2m,3,0.3333333333333333,0.0,13.601478576660156,90.76941680908203
NN-Greedy,tiny_2m,4,0.3969584723728944,153.25225830078125,20.224163055419922,118.82678985595703
NN-Greedy,tiny_2m,5,0.14311883037140105,0.0,10.265645027160645,97.47369384765625
NN-Greedy,tiny_2m,6,0.16456603152576446,0.0,13.879673957824707,86.22048950195312
NN-Greedy,tiny_2m,7,0.18964634040450565,0.0,11.606016159057617,89.64424896240234
NN-Greedy,tiny_2m,8,0.2088346916367976,0.0,9.794136047363281,74.06062316894531
NN-Greedy,tiny_2m,9,0.1047006541778875,0.0,11.184713363647461,110.625732421875
NN-Greedy,tiny_2m,10,0.08477556669006993,0.0,7.794206142425537,95.77054595947266
NN-Greedy,tiny_2m,11,0.15806799238245736,0.0,11.355857849121094,80.85020446777344
NN-Greedy,tiny_2m,12,0.2464976744082234,0.0,9.900402069091797,65.19815826416016
NN-Greedy,tiny_2m,13,0.1657835335653651,0.0,18.599693298339844,101.1532974243164
NN-Greedy,tiny_2m,14,0.22332163522997053,0.0,10.204483985900879,123.03958892822266
